仓库A,仓库B,距离(km)
国网湖南物资公司邵阳周转库,怀化靖州仓库,254.2
国网湖南物资公司邵阳周转库,邵阳武冈仓库,128
国网湖南物资公司邵阳周转库,邵阳绥宁仓库,192.8
国网湖南物资公司邵阳周转库,怀化通道仓库,254.8
国网湖南物资公司邵阳周转库,邵阳城步仓库,180.8
国网湖南物资公司邵阳周转库,国网湖南物资公司岳阳周转库,359.2
国网湖南物资公司邵阳周转库,岳阳云溪仓库,357.1
国网湖南物资公司邵阳周转库,岳阳君山仓库,386.2
国网湖南物资公司邵阳周转库,岳阳临湘仓库,380
国网湖南物资公司邵阳周转库,岳阳县仓库,332.9
国网湖南物资公司邵阳周转库,岳阳华容仓库,355.2
国网湖南物资公司邵阳周转库,岳阳汨罗仓库,296
国网湖南物资公司邵阳周转库,岳阳湘阴仓库,272.9
国网湖南物资公司邵阳周转库,岳阳平江仓库,336.8
邵阳新邵仓库,邵阳邵东仓库,38.9
邵阳新邵仓库,邵阳县仓库,56.3
邵阳新邵仓库,娄底冷水江仓库,62.8
邵阳新邵仓库,娄底涟源仓库,64
邵阳新邵仓库,邵阳隆回仓库,62
邵阳新邵仓库,娄底新化仓库,81
邵阳新邵仓库,娄底双峰仓库,97.6
邵阳新邵仓库,国网湖南物资公司娄底周转库,91.8
邵阳新邵仓库,衡阳县仓库,115.2
邵阳新邵仓库,衡阳祁东仓库,141.7
邵阳新邵仓库,国网湖南物资公司常德周转库,236.8
邵阳新邵仓库,常德鼎城仓库,230
邵阳新邵仓库,常德汉寿仓库,242.8
邵阳新邵仓库,常德桃源仓库,228.9
邵阳新邵仓库,常德临澧仓库,292.6
邵阳新邵仓库,益阳桃江仓库,211.7
邵阳新邵仓库,常德安乡仓库,300.3
邵阳新邵仓库,常德津市仓库,300.5
邵阳新邵仓库,张家界慈利仓库,306.3
邵阳新邵仓库,益阳沅江仓库,248
邵阳新邵仓库,常德澧县仓库,306.6
邵阳新邵仓库,国网湖南物资公司常德石门仓库,314.6
邵阳新邵仓库,益阳南县仓库,304.3
邵阳新邵仓库,益阳安化仓库,179.3
邵阳新邵仓库,永州冷水滩仓库,115.7
邵阳新邵仓库,国网湖南物资公司永州周转库,132.7
邵阳新邵仓库,永州零陵仓库,155.7
邵阳新邵仓库,永州东安仓库,137.7
邵阳新邵仓库,永州祁阳仓库,138.8
邵阳新邵仓库,永州双牌仓库,181.5
邵阳新邵仓库,永州新田仓库,226.5
邵阳新邵仓库,永州道县仓库,237.5
邵阳新邵仓库,邵阳新宁仓库,133.7
邵阳新邵仓库,永州宁远仓库,235.8
邵阳新邵仓库,永州蓝山仓库,264
邵阳新邵仓库,郴州嘉禾仓库,272.7
邵阳新邵仓库,永州江华仓库,335.2
邵阳新邵仓库,永州江永仓库,337.4
邵阳新邵仓库,国网湖南物资公司长沙周转库,213
邵阳新邵仓库,长沙县仓库,236.6
邵阳新邵仓库,长沙望城仓库,219.5
邵阳新邵仓库,长沙宁乡仓库,196.9
邵阳新邵仓库,国网湖南物资公司株洲周转库,224
邵阳新邵仓库,国网湖南物资公司湘潭周转库,203.4
邵阳新邵仓库,湘潭韶山仓库,159.8
邵阳新邵仓库,湘潭县仓库,194.1
邵阳新邵仓库,国网湖南物资公司益阳周转库,202.1
邵阳新邵仓库,湘潭湘乡仓库,144.5
邵阳新邵仓库,长沙浏阳仓库,289.3
邵阳新邵仓库,株洲醴陵仓库,244.7
邵阳新邵仓库,衡阳衡山仓库,186.8
邵阳新邵仓库,国网湖南物资公司湘西周转库,320.2
邵阳新邵仓库,湘西凤凰仓库,289.4
邵阳新邵仓库,湘西古丈仓库,367.6
邵阳新邵仓库,怀化麻阳仓库,263.3
邵阳新邵仓库,湘西泸溪仓库,261.5
邵阳新邵仓库,湘西保靖仓库,404.6
邵阳新邵仓库,怀化沅陵仓库,260
邵阳新邵仓库,怀化辰溪仓库,233
邵阳新邵仓库,湘西永顺仓库,433.1
邵阳新邵仓库,张家界周转库,384.8
邵阳新邵仓库,怀化溆浦仓库,178.7
邵阳新邵仓库,湘西龙山仓库,493.6
邵阳新邵仓库,张家界桑植仓库,438.8
邵阳新邵仓库,国网湖南物资公司郴州周转库,310.1
邵阳新邵仓库,郴州苏仙仓库,306
邵阳新邵仓库,郴州北湖仓库,310.5
邵阳新邵仓库,郴州桂阳仓库,279.1
邵阳新邵仓库,郴州资兴仓库,300.9
邵阳新邵仓库,衡阳耒阳仓库,222
邵阳新邵仓库,郴州安仁仓库,260.2
邵阳新邵仓库,株洲茶陵仓库,263.3
邵阳新邵仓库,株洲炎陵仓库,305.9
邵阳新邵仓库,衡阳常宁仓库,179.1
邵阳新邵仓库,郴州桂东仓库,374.6
邵阳新邵仓库,国网湖南物资公司衡阳周转库,137.8
邵阳新邵仓库,株洲攸县仓库,239.2
邵阳新邵仓库,衡阳衡东仓库,175.4
邵阳新邵仓库,国网湖南物资公司怀化周转库,222.5
邵阳新邵仓库,国网怀化中方芙蓉路仓库,226.6
邵阳新邵仓库,怀化芷江仓库,223.6
邵阳新邵仓库,怀化洪江市仓库,219.8
邵阳新邵仓库,怀化洪江区仓库,223.3
邵阳新邵仓库,邵阳洞口仓库,112.2
邵阳新邵仓库,怀化会同仓库,263.5
邵阳新邵仓库,怀化新晃仓库,279.3
邵阳新邵仓库,怀化靖州仓库,262.6
邵阳新邵仓库,邵阳武冈仓库,136.4
邵阳新邵仓库,邵阳绥宁仓库,201.1
邵阳新邵仓库,怀化通道仓库,263.2
邵阳新邵仓库,邵阳城步仓库,189.2
邵阳新邵仓库,国网湖南物资公司岳阳周转库,337.8
邵阳新邵仓库,岳阳云溪仓库,335.6
邵阳新邵仓库,岳阳君山仓库,364.7
邵阳新邵仓库,岳阳临湘仓库,358.5
邵阳新邵仓库,岳阳县仓库,311.5
邵阳新邵仓库,岳阳华容仓库,333.7
邵阳新邵仓库,岳阳汨罗仓库,274.5
邵阳新邵仓库,岳阳湘阴仓库,251.4
邵阳新邵仓库,岳阳平江仓库,323.8
邵阳邵东仓库,邵阳县仓库,74
邵阳邵东仓库,娄底冷水江仓库,78.1
邵阳邵东仓库,娄底涟源仓库,80.2
邵阳邵东仓库,邵阳隆回仓库,79.9
邵阳邵东仓库,娄底新化仓库,96.3
邵阳邵东仓库,娄底双峰仓库,66.8
邵阳邵东仓库,国网湖南物资公司娄底周转库,83.3
邵阳邵东仓库,衡阳县仓库,74.3
邵阳邵东仓库,衡阳祁东仓库,81.1
邵阳邵东仓库,国网湖南物资公司常德周转库,259.1
邵阳邵东仓库,常德鼎城仓库,252.3
邵阳邵东仓库,常德汉寿仓库,248.2
邵阳邵东仓库,常德桃源仓库,251.2
邵阳邵东仓库,常德临澧仓库,314.9
邵阳邵东仓库,益阳桃江仓库,200.3
邵阳邵东仓库,常德安乡仓库,310.4
邵阳邵东仓库,常德津市仓库,322.8
邵阳邵东仓库,张家界慈利仓库,328.6
邵阳邵东仓库,益阳沅江仓库,234.6
邵阳邵东仓库,常德澧县仓库,329
邵阳邵东仓库,国网湖南物资公司常德石门仓库,336.9
邵阳邵东仓库,益阳南县仓库,291
邵阳邵东仓库,益阳安化仓库,194.5
邵阳邵东仓库,永州冷水滩仓库,133.5
邵阳邵东仓库,国网湖南物资公司永州周转库,150.5
邵阳邵东仓库,永州零陵仓库,173.5
邵阳邵东仓库,永州东安仓库,155.4
邵阳邵东仓库,永州祁阳仓库,101.8
邵阳邵东仓库,永州双牌仓库,199.2
邵阳邵东仓库,永州新田仓库,244.3
邵阳邵东仓库,永州道县仓库,255.2
邵阳邵东仓库,邵阳新宁仓库,151.4
邵阳邵东仓库,永州宁远仓库,253.5
邵阳邵东仓库,永州蓝山仓库,281.8
邵阳邵东仓库,郴州嘉禾仓库,263.7
邵阳邵东仓库,永州江华仓库,353
邵阳邵东仓库,永州江永仓库,355.2
邵阳邵东仓库,国网湖南物资公司长沙周转库,202.1
邵阳邵东仓库,长沙县仓库,209.1
邵阳邵东仓库,长沙望城仓库,203.2
邵阳邵东仓库,长沙宁乡仓库,177.7
邵阳邵东仓库,国网湖南物资公司株洲周转库,193.2
邵阳邵东仓库,国网湖南物资公司湘潭周转库,172.6
邵阳邵东仓库,湘潭韶山仓库,127.9
邵阳邵东仓库,湘潭县仓库,163.3
邵阳邵东仓库,国网湖南物资公司益阳周转库,188.7
邵阳邵东仓库,湘潭湘乡仓库,113.7
邵阳邵东仓库,长沙浏阳仓库,262.6
邵阳邵东仓库,株洲醴陵仓库,213.9
邵阳邵东仓库,衡阳衡山仓库,150.5
邵阳邵东仓库,国网湖南物资公司湘西周转库,335.4
邵阳邵东仓库,湘西凤凰仓库,307.2
邵阳邵东仓库,湘西古丈仓库,382.8
邵阳邵东仓库,怀化麻阳仓库,281.2
邵阳邵东仓库,湘西泸溪仓库,276.8
邵阳邵东仓库,湘西保靖仓库,419.9
邵阳邵东仓库,怀化沅陵仓库,275.3
邵阳邵东仓库,怀化辰溪仓库,248.2
邵阳邵东仓库,湘西永顺仓库,448.4
邵阳邵东仓库,张家界周转库,407.1
邵阳邵东仓库,怀化溆浦仓库,193.9
邵阳邵东仓库,湘西龙山仓库,508.9
邵阳邵东仓库,张家界桑植仓库,461.1
邵阳邵东仓库,国网湖南物资公司郴州周转库,273.8
邵阳邵东仓库,郴州苏仙仓库,269.7
邵阳邵东仓库,郴州北湖仓库,274.2
邵阳邵东仓库,郴州桂阳仓库,242.8
邵阳邵东仓库,郴州资兴仓库,264.6
邵阳邵东仓库,衡阳耒阳仓库,185.7
邵阳邵东仓库,郴州安仁仓库,223.9
邵阳邵东仓库,株洲茶陵仓库,227
邵阳邵东仓库,株洲炎陵仓库,269.6
邵阳邵东仓库,衡阳常宁仓库,142.8
邵阳邵东仓库,郴州桂东仓库,338.3
邵阳邵东仓库,国网湖南物资公司衡阳周转库,101.5
邵阳邵东仓库,株洲攸县仓库,202.9
邵阳邵东仓库,衡阳衡东仓库,139.1
邵阳邵东仓库,国网湖南物资公司怀化周转库,240.3
邵阳邵东仓库,国网怀化中方芙蓉路仓库,244.5
邵阳邵东仓库,怀化芷江仓库,241.5
邵阳邵东仓库,怀化洪江市仓库,237.7
邵阳邵东仓库,怀化洪江区仓库,241.2
邵阳邵东仓库,邵阳洞口仓库,130.1
邵阳邵东仓库,怀化会同仓库,281.4
邵阳邵东仓库,怀化新晃仓库,297.2
邵阳邵东仓库,怀化靖州仓库,280.4
邵阳邵东仓库,邵阳武冈仓库,154.3
邵阳邵东仓库,邵阳绥宁仓库,219
邵阳邵东仓库,怀化通道仓库,281
邵阳邵东仓库,邵阳城步仓库,207.1
邵阳邵东仓库,国网湖南物资公司岳阳周转库,324.4
邵阳邵东仓库,岳阳云溪仓库,322.3
邵阳邵东仓库,岳阳君山仓库,351.4
邵阳邵东仓库,岳阳临湘仓库,345.2
邵阳邵东仓库,岳阳县仓库,298.1
邵阳邵东仓库,岳阳华容仓库,320.4
邵阳邵东仓库,岳阳汨罗仓库,261.2
邵阳邵东仓库,岳阳湘阴仓库,238.1
邵阳邵东仓库,岳阳平江仓库,302.1
邵阳县仓库,娄底冷水江仓库,107.2
邵阳县仓库,娄底涟源仓库,108.3
邵阳县仓库,邵阳隆回仓库,39.6
邵阳县仓库,娄底新化仓库,125.4
邵阳县仓库,娄底双峰仓库,132.9
邵阳县仓库,国网湖南物资公司娄底周转库,136.2
邵阳县仓库,衡阳县仓库,150.7
邵阳县仓库,衡阳祁东仓库,126.8
邵阳县仓库,国网湖南物资公司常德周转库,281.1
邵阳县仓库,常德鼎城仓库,274.3
邵阳县仓库,常德汉寿仓库,287.1
邵阳县仓库,常德桃源仓库,273.3
邵阳县仓库,常德临澧仓库,336.9
邵阳县仓库,益阳桃江仓库,256
邵阳县仓库,常德安乡仓库,344.7
邵阳县仓库,常德津市仓库,344.9
邵阳县仓库,张家界慈利仓库,350.6
邵阳县仓库,益阳沅江仓库,292.3
邵阳县仓库,常德澧县仓库,351
邵阳县仓库,国网湖南物资公司常德石门仓库,359
邵阳县仓库,益阳南县仓库,348.6
邵阳县仓库,益阳安化仓库,223.6
邵阳县仓库,永州冷水滩仓库,74.9
邵阳县仓库,国网湖南物资公司永州周转库,92
邵阳县仓库,永州零陵仓库,114.9
邵阳县仓库,永州东安仓库,103.3
邵阳县仓库,永州祁阳仓库,98
邵阳县仓库,永州双牌仓库,140.7
邵阳县仓库,永州新田仓库,185.8
邵阳县仓库,永州道县仓库,196.7
邵阳县仓库,邵阳新宁仓库,99.3
邵阳县仓库,永州宁远仓库,195
邵阳县仓库,永州蓝山仓库,223.2
邵阳县仓库,郴州嘉禾仓库,232
邵阳县仓库,永州江华仓库,294.5
邵阳县仓库,永州江永仓库,296.6
邵阳县仓库,国网湖南物资公司长沙周转库,257.4
邵阳县仓库,长沙县仓库,275.2
邵阳县仓库,长沙望城仓库,269.2
邵阳县仓库,长沙宁乡仓库,241.2
邵阳县仓库,国网湖南物资公司株洲周转库,259.3
邵阳县仓库,国网湖南物资公司湘潭周转库,238.6
邵阳县仓库,湘潭韶山仓库,193.9
邵阳县仓库,湘潭县仓库,229.4
邵阳县仓库,国网湖南物资公司益阳周转库,246.4
邵阳县仓库,湘潭湘乡仓库,179.8
邵阳县仓库,长沙浏阳仓库,328.7
邵阳县仓库,株洲醴陵仓库,280
邵阳县仓库,衡阳衡山仓库,222.3
邵阳县仓库,国网湖南物资公司湘西周转库,300.1
邵阳县仓库,湘西凤凰仓库,267.4
邵阳县仓库,湘西古丈仓库,347.5
邵阳县仓库,怀化麻阳仓库,241.3
邵阳县仓库,湘西泸溪仓库,305.9
邵阳县仓库,湘西保靖仓库,384.5
邵阳县仓库,怀化沅陵仓库,304.4
邵阳县仓库,怀化辰溪仓库,277.3
邵阳县仓库,湘西永顺仓库,413
邵阳县仓库,张家界周转库,429.1
邵阳县仓库,怀化溆浦仓库,223
邵阳县仓库,湘西龙山仓库,473.5
邵阳县仓库,张家界桑植仓库,483.1
邵阳县仓库,国网湖南物资公司郴州周转库,307.2
邵阳县仓库,郴州苏仙仓库,310
邵阳县仓库,郴州北湖仓库,307.1
邵阳县仓库,郴州桂阳仓库,276.2
邵阳县仓库,郴州资兴仓库,317.5
邵阳县仓库,衡阳耒阳仓库,226.6
邵阳县仓库,郴州安仁仓库,281.2
邵阳县仓库,株洲茶陵仓库,298.8
邵阳县仓库,株洲炎陵仓库,341.4
邵阳县仓库,衡阳常宁仓库,183.7
邵阳县仓库,郴州桂东仓库,410.1
