仓库A,仓库B,距离(km)
常德鼎城仓库,衡阳衡东仓库,312.1
常德鼎城仓库,国网湖南物资公司怀化周转库,276.7
常德鼎城仓库,国网怀化中方芙蓉路仓库,274.7
常德鼎城仓库,怀化芷江仓库,313.7
常德鼎城仓库,怀化洪江市仓库,324.4
常德鼎城仓库,怀化洪江区仓库,327.9
常德鼎城仓库,邵阳洞口仓库,330.1
常德鼎城仓库,怀化会同仓库,362.8
常德鼎城仓库,怀化新晃仓库,368.6
常德鼎城仓库,怀化靖州仓库,401.5
常德鼎城仓库,邵阳武冈仓库,354.2
常德鼎城仓库,邵阳绥宁仓库,419
常德鼎城仓库,怀化通道仓库,466.6
常德鼎城仓库,邵阳城步仓库,407
常德鼎城仓库,国网湖南物资公司岳阳周转库,188.7
常德鼎城仓库,岳阳云溪仓库,187.5
常德鼎城仓库,岳阳君山仓库,173.4
常德鼎城仓库,岳阳临湘仓库,227.9
常德鼎城仓库,岳阳县仓库,217
常德鼎城仓库,岳阳华容仓库,118.5
常德鼎城仓库,岳阳汨罗仓库,180
常德鼎城仓库,岳阳湘阴仓库,157
常德鼎城仓库,岳阳平江仓库,229.3
常德汉寿仓库,常德桃源仓库,64
常德汉寿仓库,常德临澧仓库,99.5
常德汉寿仓库,益阳桃江仓库,57.9
常德汉寿仓库,常德安乡仓库,73
常德汉寿仓库,常德津市仓库,86.9
常德汉寿仓库,张家界慈利仓库,120
常德汉寿仓库,益阳沅江仓库,54.3
常德汉寿仓库,常德澧县仓库,113.6
常德汉寿仓库,国网湖南物资公司常德石门仓库,145.3
常德汉寿仓库,益阳南县仓库,91.9
常德汉寿仓库,益阳安化仓库,144.5
常德汉寿仓库,永州冷水滩仓库,349.1
常德汉寿仓库,国网湖南物资公司永州周转库,366.2
常德汉寿仓库,永州零陵仓库,389.1
常德汉寿仓库,永州东安仓库,371.1
常德汉寿仓库,永州祁阳仓库,340.3
常德汉寿仓库,永州双牌仓库,414.9
常德汉寿仓库,永州新田仓库,434
常德汉寿仓库,永州道县仓库,470.9
常德汉寿仓库,邵阳新宁仓库,367.1
常德汉寿仓库,永州宁远仓库,469.2
常德汉寿仓库,永州蓝山仓库,499.3
常德汉寿仓库,郴州嘉禾仓库,456.6
常德汉寿仓库,永州江华仓库,570.5
常德汉寿仓库,永州江永仓库,572.7
常德汉寿仓库,国网湖南物资公司长沙周转库,140.7
常德汉寿仓库,长沙县仓库,162.6
常德汉寿仓库,长沙望城仓库,130.4
常德汉寿仓库,长沙宁乡仓库,108.4
常德汉寿仓库,国网湖南物资公司株洲周转库,209.4
常德汉寿仓库,国网湖南物资公司湘潭周转库,184.2
常德汉寿仓库,湘潭韶山仓库,156.1
常德汉寿仓库,湘潭县仓库,195.3
常德汉寿仓库,国网湖南物资公司益阳周转库,74.6
常德汉寿仓库,湘潭湘乡仓库,176.4
常德汉寿仓库,长沙浏阳仓库,221.9
常德汉寿仓库,株洲醴陵仓库,251.9
常德汉寿仓库,衡阳衡山仓库,269.6
常德汉寿仓库,国网湖南物资公司湘西周转库,267.6
常德汉寿仓库,湘西凤凰仓库,305.1
常德汉寿仓库,湘西古丈仓库,315
常德汉寿仓库,怀化麻阳仓库,295.2
常德汉寿仓库,湘西泸溪仓库,217.9
常德汉寿仓库,湘西保靖仓库,303
常德汉寿仓库,怀化沅陵仓库,196.4
常德汉寿仓库,怀化辰溪仓库,246.2
常德汉寿仓库,湘西永顺仓库,284.5
常德汉寿仓库,张家界周转库,198.5
常德汉寿仓库,怀化溆浦仓库,268.1
常德汉寿仓库,湘西龙山仓库,336.2
常德汉寿仓库,张家界桑植仓库,252.5
常德汉寿仓库,国网湖南物资公司郴州周转库,447.8
常德汉寿仓库,郴州苏仙仓库,443.7
常德汉寿仓库,郴州北湖仓库,448.2
常德汉寿仓库,郴州桂阳仓库,435.7
常德汉寿仓库,郴州资兴仓库,438.6
常德汉寿仓库,衡阳耒阳仓库,363.8
常德汉寿仓库,郴州安仁仓库,363.3
常德汉寿仓库,株洲茶陵仓库,366.4
常德汉寿仓库,株洲炎陵仓库,409
常德汉寿仓库,衡阳常宁仓库,339.4
常德汉寿仓库,郴州桂东仓库,477.8
常德汉寿仓库,国网湖南物资公司衡阳周转库,294.7
常德汉寿仓库,株洲攸县仓库,331.8
常德汉寿仓库,衡阳衡东仓库,287.1
常德汉寿仓库,国网湖南物资公司怀化周转库,305
常德汉寿仓库,国网怀化中方芙蓉路仓库,302.9
常德汉寿仓库,怀化芷江仓库,342
常德汉寿仓库,怀化洪江市仓库,352.7
常德汉寿仓库,怀化洪江区仓库,356.1
常德汉寿仓库,邵阳洞口仓库,345.6
常德汉寿仓库,怀化会同仓库,391.1
常德汉寿仓库,怀化新晃仓库,396.9
常德汉寿仓库,怀化靖州仓库,429.7
常德汉寿仓库,邵阳武冈仓库,369.8
常德汉寿仓库,邵阳绥宁仓库,434.5
常德汉寿仓库,怀化通道仓库,496.6
常德汉寿仓库,邵阳城步仓库,422.6
常德汉寿仓库,国网湖南物资公司岳阳周转库,184.5
常德汉寿仓库,岳阳云溪仓库,183.4
常德汉寿仓库,岳阳君山仓库,169.3
常德汉寿仓库,岳阳临湘仓库,239.1
常德汉寿仓库,岳阳县仓库,192
常德汉寿仓库,岳阳华容仓库,114.4
常德汉寿仓库,岳阳汨罗仓库,155.1
常德汉寿仓库,岳阳湘阴仓库,132
常德汉寿仓库,岳阳平江仓库,204.3
常德桃源仓库,常德临澧仓库,72
常德桃源仓库,益阳桃江仓库,130.6
常德桃源仓库,常德安乡仓库,104.9
常德桃源仓库,常德津市仓库,105.3
常德桃源仓库,张家界慈利仓库,86.1
常德桃源仓库,益阳沅江仓库,124.5
常德桃源仓库,常德澧县仓库,103.8
常德桃源仓库,国网湖南物资公司常德石门仓库,92.1
常德桃源仓库,益阳南县仓库,123.8
常德桃源仓库,益阳安化仓库,128.6
常德桃源仓库,永州冷水滩仓库,353.9
常德桃源仓库,国网湖南物资公司永州周转库,370.9
常德桃源仓库,永州零陵仓库,393.9
常德桃源仓库,永州东安仓库,375.8
常德桃源仓库,永州祁阳仓库,376.9
常德桃源仓库,永州双牌仓库,419.6
常德桃源仓库,永州新田仓库,464.7
常德桃源仓库,永州道县仓库,475.6
常德桃源仓库,邵阳新宁仓库,371.8
常德桃源仓库,永州宁远仓库,473.9
常德桃源仓库,永州蓝山仓库,502.1
常德桃源仓库,郴州嘉禾仓库,501
常德桃源仓库,永州江华仓库,573.4
常德桃源仓库,永州江永仓库,575.6
常德桃源仓库,国网湖南物资公司长沙周转库,187
常德桃源仓库,长沙县仓库,209.9
常德桃源仓库,长沙望城仓库,177.7
常德桃源仓库,长沙宁乡仓库,153.7
常德桃源仓库,国网湖南物资公司株洲周转库,258
常德桃源仓库,国网湖南物资公司湘潭周转库,231.4
常德桃源仓库,湘潭韶山仓库,201.4
常德桃源仓库,湘潭县仓库,239.7
常德桃源仓库,国网湖南物资公司益阳周转库,119.9
常德桃源仓库,湘潭湘乡仓库,221.7
常德桃源仓库,长沙浏阳仓库,269.3
常德桃源仓库,株洲醴陵仓库,296.3
常德桃源仓库,衡阳衡山仓库,314
常德桃源仓库,国网湖南物资公司湘西周转库,221.8
常德桃源仓库,湘西凤凰仓库,259.2
常德桃源仓库,湘西古丈仓库,269.1
常德桃源仓库,怀化麻阳仓库,249.4
常德桃源仓库,湘西泸溪仓库,172.1
常德桃源仓库,湘西保靖仓库,269.2
常德桃源仓库,怀化沅陵仓库,150.6
常德桃源仓库,怀化辰溪仓库,200.3
常德桃源仓库,湘西永顺仓库,250.6
常德桃源仓库,张家界周转库,164.6
常德桃源仓库,怀化溆浦仓库,221.8
常德桃源仓库,湘西龙山仓库,302.3
常德桃源仓库,张家界桑植仓库,218.6
常德桃源仓库,国网湖南物资公司郴州周转库,492.1
常德桃源仓库,郴州苏仙仓库,488.1
常德桃源仓库,郴州北湖仓库,492.5
常德桃源仓库,郴州桂阳仓库,480.1
常德桃源仓库,郴州资兴仓库,483
常德桃源仓库,衡阳耒阳仓库,408.2
常德桃源仓库,郴州安仁仓库,407.7
常德桃源仓库,株洲茶陵仓库,410.8
常德桃源仓库,株洲炎陵仓库,453.4
常德桃源仓库,衡阳常宁仓库,384.7
常德桃源仓库,郴州桂东仓库,522.1
常德桃源仓库,国网湖南物资公司衡阳周转库,339.1
常德桃源仓库,株洲攸县仓库,376.2
常德桃源仓库,衡阳衡东仓库,331.5
常德桃源仓库,国网湖南物资公司怀化周转库,259.1
常德桃源仓库,国网怀化中方芙蓉路仓库,257.1
常德桃源仓库,怀化芷江仓库,296.2
常德桃源仓库,怀化洪江市仓库,306.8
常德桃源仓库,怀化洪江区仓库,310.3
常德桃源仓库,邵阳洞口仓库,313.4
常德桃源仓库,怀化会同仓库,345.2
常德桃源仓库,怀化新晃仓库,351
常德桃源仓库,怀化靖州仓库,383.9
常德桃源仓库,邵阳武冈仓库,337.6
常德桃源仓库,邵阳绥宁仓库,402.3
常德桃源仓库,怀化通道仓库,449
常德桃源仓库,邵阳城步仓库,390.4
常德桃源仓库,国网湖南物资公司岳阳周转库,216.5
常德桃源仓库,岳阳云溪仓库,215.3
常德桃源仓库,岳阳君山仓库,201.3
常德桃源仓库,岳阳临湘仓库,255.7
常德桃源仓库,岳阳县仓库,239.5
常德桃源仓库,岳阳华容仓库,146.3
常德桃源仓库,岳阳汨罗仓库,202.6
常德桃源仓库,岳阳湘阴仓库,179.5
常德桃源仓库,岳阳平江仓库,251.8
常德临澧仓库,益阳桃江仓库,168.4
常德临澧仓库,常德安乡仓库,70.9
常德临澧仓库,常德津市仓库,35
常德临澧仓库,张家界慈利仓库,74.6
常德临澧仓库,益阳沅江仓库,154.9
常德临澧仓库,常德澧县仓库,36.8
常德临澧仓库,国网湖南物资公司常德石门仓库,40.1
常德临澧仓库,益阳南县仓库,98.5
常德临澧仓库,益阳安化仓库,191.3
常德临澧仓库,永州冷水滩仓库,395.9
常德临澧仓库,国网湖南物资公司永州周转库,413
常德临澧仓库,永州零陵仓库,436
常德临澧仓库,永州东安仓库,417.9
常德临澧仓库,永州祁阳仓库,419
常德临澧仓库,永州双牌仓库,461.7
常德临澧仓库,永州新田仓库,506.8
常德临澧仓库,永州道县仓库,517.7
常德临澧仓库,邵阳新宁仓库,413.9
常德临澧仓库,永州宁远仓库,516
常德临澧仓库,永州蓝山仓库,544.2
常德临澧仓库,郴州嘉禾仓库,536.7
常德临澧仓库,永州江华仓库,615.5
常德临澧仓库,永州江永仓库,617.6
常德临澧仓库,国网湖南物资公司长沙周转库,220.8
常德临澧仓库,长沙县仓库,242.7
常德临澧仓库,长沙望城仓库,210.5
常德临澧仓库,长沙宁乡仓库,197.4
常德临澧仓库,国网湖南物资公司株洲周转库,289.5
常德临澧仓库,国网湖南物资公司湘潭周转库,264.3
常德临澧仓库,湘潭韶山仓库,245.1
常德临澧仓库,湘潭县仓库,275.4
常德临澧仓库,国网湖南物资公司益阳周转库,157.7
常德临澧仓库,湘潭湘乡仓库,265.4
常德临澧仓库,长沙浏阳仓库,302.1
常德临澧仓库,株洲醴陵仓库,332.1
常德临澧仓库,衡阳衡山仓库,349.7
常德临澧仓库,国网湖南物资公司湘西周转库,294.3
常德临澧仓库,湘西凤凰仓库,331.7
常德临澧仓库,湘西古丈仓库,280
常德临澧仓库,怀化麻阳仓库,321.8
常德临澧仓库,湘西泸溪仓库,244.5
常德临澧仓库,湘西保靖仓库,259.3
常德临澧仓库,怀化沅陵仓库,223
常德临澧仓库,怀化辰溪仓库,272.8
常德临澧仓库,湘西永顺仓库,240.7
常德临澧仓库,张家界周转库,154.7
常德临澧仓库,怀化溆浦仓库,294.3
常德临澧仓库,湘西龙山仓库,292.4
常德临澧仓库,张家界桑植仓库,208.7
常德临澧仓库,国网湖南物资公司郴州周转库,527.9
常德临澧仓库,郴州苏仙仓库,523.8
常德临澧仓库,郴州北湖仓库,528.3
常德临澧仓库,郴州桂阳仓库,515.8
常德临澧仓库,郴州资兴仓库,518.7
常德临澧仓库,衡阳耒阳仓库,444
常德临澧仓库,郴州安仁仓库,443.4
常德临澧仓库,株洲茶陵仓库,446.5
常德临澧仓库,株洲炎陵仓库,489.2
常德临澧仓库,衡阳常宁仓库,422.5
常德临澧仓库,郴州桂东仓库,557.9
常德临澧仓库,国网湖南物资公司衡阳周转库,374.8
常德临澧仓库,株洲攸县仓库,411.9
常德临澧仓库,衡阳衡东仓库,367.2
常德临澧仓库,国网湖南物资公司怀化周转库,331.6
常德临澧仓库,国网怀化中方芙蓉路仓库,329.6
常德临澧仓库,怀化芷江仓库,368.6
常德临澧仓库,怀化洪江市仓库,379.3
常德临澧仓库,怀化洪江区仓库,382.8
常德临澧仓库,邵阳洞口仓库,392.5
常德临澧仓库,怀化会同仓库,417.7
常德临澧仓库,怀化新晃仓库,423.5
常德临澧仓库,怀化靖州仓库,456.4
常德临澧仓库,邵阳武冈仓库,416.6
常德临澧仓库,邵阳绥宁仓库,481.4
常德临澧仓库,怀化通道仓库,521.4
常德临澧仓库,邵阳城步仓库,469.4
常德临澧仓库,国网湖南物资公司岳阳周转库,191.2
常德临澧仓库,岳阳云溪仓库,190
常德临澧仓库,岳阳君山仓库,175.9
常德临澧仓库,岳阳临湘仓库,230.3
常德临澧仓库,岳阳县仓库,234.5
常德临澧仓库,岳阳华容仓库,121
常德临澧仓库,岳阳汨罗仓库,235.2
常德临澧仓库,岳阳湘阴仓库,212.1
常德临澧仓库,岳阳平江仓库,284.5
益阳桃江仓库,常德安乡仓库,145.1
益阳桃江仓库,常德津市仓库,175.7
益阳桃江仓库,张家界慈利仓库,185.3
益阳桃江仓库,益阳沅江仓库,51.8
益阳桃江仓库,常德澧县仓库,181.9
益阳桃江仓库,国网湖南物资公司常德石门仓库,193.7
益阳桃江仓库,益阳南县仓库,125.7
益阳桃江仓库,益阳安化仓库,110.3
益阳桃江仓库,永州冷水滩仓库,315.2
益阳桃江仓库,国网湖南物资公司永州周转库,332.2
益阳桃江仓库,永州零陵仓库,340.1
益阳桃江仓库,永州东安仓库,337.2
益阳桃江仓库,永州祁阳仓库,290.9
益阳桃江仓库,永州双牌仓库,380.9
益阳桃江仓库,永州新田仓库,388.6
益阳桃江仓库,永州道县仓库,437
益阳桃江仓库,邵阳新宁仓库,333.1
益阳桃江仓库,永州宁远仓库,420
益阳桃江仓库,永州蓝山仓库,448.2
益阳桃江仓库,郴州嘉禾仓库,411.2
益阳桃江仓库,永州江华仓库,525.2
益阳桃江仓库,永州江永仓库,527.3
益阳桃江仓库,国网湖南物资公司长沙周转库,100.8
益阳桃江仓库,长沙县仓库,123.7
益阳桃江仓库,长沙望城仓库,91.4
益阳桃江仓库,长沙宁乡仓库,67.6
益阳桃江仓库,国网湖南物资公司株洲周转库,170.4
益阳桃江仓库,国网湖南物资公司湘潭周转库,145.3
益阳桃江仓库,湘潭韶山仓库,115.2
益阳桃江仓库,湘潭县仓库,156.4
益阳桃江仓库,国网湖南物资公司益阳周转库,24.5
益阳桃江仓库,湘潭湘乡仓库,135.5
益阳桃江仓库,长沙浏阳仓库,183
益阳桃江仓库,株洲醴陵仓库,213
益阳桃江仓库,衡阳衡山仓库,230.6
益阳桃江仓库,国网湖南物资公司湘西周转库,284
益阳桃江仓库,湘西凤凰仓库,321.4
益阳桃江仓库,湘西古丈仓库,331.3
益阳桃江仓库,怀化麻阳仓库,311.6
益阳桃江仓库,湘西泸溪仓库,234.3
益阳桃江仓库,湘西保靖仓库,368.4
益阳桃江仓库,怀化沅陵仓库,212.8
益阳桃江仓库,怀化辰溪仓库,262.5
益阳桃江仓库,湘西永顺仓库,349.8
益阳桃江仓库,张家界周转库,263.8
益阳桃江仓库,怀化溆浦仓库,234
益阳桃江仓库,湘西龙山仓库,401.6
益阳桃江仓库,张家界桑植仓库,317.9
益阳桃江仓库,国网湖南物资公司郴州周转库,408.8
益阳桃江仓库,郴州苏仙仓库,404.8
益阳桃江仓库,郴州北湖仓库,409.2
益阳桃江仓库,郴州桂阳仓库,390.3
益阳桃江仓库,郴州资兴仓库,399.6
益阳桃江仓库,衡阳耒阳仓库,324.9
益阳桃江仓库,郴州安仁仓库,324.4
益阳桃江仓库,株洲茶陵仓库,327.5
益阳桃江仓库,株洲炎陵仓库,370.1
益阳桃江仓库,衡阳常宁仓库,290
益阳桃江仓库,郴州桂东仓库,438.8
益阳桃江仓库,国网湖南物资公司衡阳周转库,249.1
益阳桃江仓库,株洲攸县仓库,292.9
益阳桃江仓库,衡阳衡东仓库,248.2
益阳桃江仓库,国网湖南物资公司怀化周转库,311.5
益阳桃江仓库,国网怀化中方芙蓉路仓库,309.4
益阳桃江仓库,怀化芷江仓库,348.5
益阳桃江仓库,怀化洪江市仓库,359.2
益阳桃江仓库,怀化洪江区仓库,362.7
益阳桃江仓库,邵阳洞口仓库,311.7
益阳桃江仓库,怀化会同仓库,397.6
益阳桃江仓库,怀化新晃仓库,403.4
益阳桃江仓库,怀化靖州仓库,436.2
益阳桃江仓库,邵阳武冈仓库,335.9
益阳桃江仓库,邵阳绥宁仓库,400.6
益阳桃江仓库,怀化通道仓库,462.6
益阳桃江仓库,邵阳城步仓库,388.7
益阳桃江仓库,国网湖南物资公司岳阳周转库,179.5
益阳桃江仓库,岳阳云溪仓库,177.4
益阳桃江仓库,岳阳君山仓库,210
益阳桃江仓库,岳阳临湘仓库,200.3
益阳桃江仓库,岳阳县仓库,153.2
益阳桃江仓库,岳阳华容仓库,155.1
益阳桃江仓库,岳阳汨罗仓库,116.3
益阳桃江仓库,岳阳湘阴仓库,93.2
益阳桃江仓库,岳阳平江仓库,165.6
常德安乡仓库,常德津市仓库,48
常德安乡仓库,张家界慈利仓库,125.8
常德安乡仓库,益阳沅江仓库,91.1
常德安乡仓库,常德澧县仓库,65.3
常德安乡仓库,国网湖南物资公司常德石门仓库,96.8
常德安乡仓库,益阳南县仓库,29
常德安乡仓库,益阳安化仓库,199
常德安乡仓库,永州冷水滩仓库,403.7
常德安乡仓库,国网湖南物资公司永州周转库,420.7
常德安乡仓库,永州零陵仓库,443.7
常德安乡仓库,永州东安仓库,425.7
常德安乡仓库,永州祁阳仓库,401.1
常德安乡仓库,永州双牌仓库,469.4
常德安乡仓库,永州新田仓库,492.1
常德安乡仓库,永州道县仓库,525.5
常德安乡仓库,邵阳新宁仓库,421.6
常德安乡仓库,永州宁远仓库,523.8
常德安乡仓库,永州蓝山仓库,552
常德安乡仓库,郴州嘉禾仓库,514.7
常德安乡仓库,永州江华仓库,623.2
常德安乡仓库,永州江永仓库,625.4
常德安乡仓库,国网湖南物资公司长沙周转库,198.8
常德安乡仓库,长沙县仓库,220.7
常德安乡仓库,长沙望城仓库,188.5
常德安乡仓库,长沙宁乡仓库,169.5
常德安乡仓库,国网湖南物资公司株洲周转库,267.5
常德安乡仓库,国网湖南物资公司湘潭周转库,242.3
常德安乡仓库,湘潭韶山仓库,217.2
常德安乡仓库,湘潭县仓库,253.4
常德安乡仓库,国网湖南物资公司益阳周转库,135.5
常德安乡仓库,湘潭湘乡仓库,237.5
常德安乡仓库,长沙浏阳仓库,280
常德安乡仓库,株洲醴陵仓库,310
常德安乡仓库,衡阳衡山仓库,327.7
常德安乡仓库,国网湖南物资公司湘西周转库,325.3
常德安乡仓库,湘西凤凰仓库,362.7
常德安乡仓库,湘西古丈仓库,337
常德安乡仓库,怀化麻阳仓库,352.8
常德安乡仓库,湘西泸溪仓库,275.5
常德安乡仓库,湘西保靖仓库,316.3
常德安乡仓库,怀化沅陵仓库,254
常德安乡仓库,怀化辰溪仓库,303.8
常德安乡仓库,湘西永顺仓库,297.8
常德安乡仓库,张家界周转库,211.8
常德安乡仓库,怀化溆浦仓库,322.6
常德安乡仓库,湘西龙山仓库,349.5
常德安乡仓库,张家界桑植仓库,265.8
常德安乡仓库,国网湖南物资公司郴州周转库,505.8
常德安乡仓库,郴州苏仙仓库,501.8
常德安乡仓库,郴州北湖仓库,506.3
常德安乡仓库,郴州桂阳仓库,493.8
常德安乡仓库,郴州资兴仓库,496.7
常德安乡仓库,衡阳耒阳仓库,421.9
常德安乡仓库,郴州安仁仓库,421.4
常德安乡仓库,株洲茶陵仓库,424.5
常德安乡仓库,株洲炎陵仓库,467.1
常德安乡仓库,衡阳常宁仓库,400.2
常德安乡仓库,郴州桂东仓库,535.8
常德安乡仓库,国网湖南物资公司衡阳周转库,352.8
常德安乡仓库,株洲攸县仓库,389.9
常德安乡仓库,衡阳衡东仓库,345.2
常德安乡仓库,国网湖南物资公司怀化周转库,362.6
常德安乡仓库,国网怀化中方芙蓉路仓库,360.6
常德安乡仓库,怀化芷江仓库,399.6
常德安乡仓库,怀化洪江市仓库,410.3
常德安乡仓库,怀化洪江区仓库,413.8
常德安乡仓库,邵阳洞口仓库,400.2
常德安乡仓库,怀化会同仓库,448.7
常德安乡仓库,怀化新晃仓库,454.5
常德安乡仓库,怀化靖州仓库,487.3
常德安乡仓库,邵阳武冈仓库,424.4
常德安乡仓库,邵阳绥宁仓库,489.1
常德安乡仓库,怀化通道仓库,551.1
常德安乡仓库,邵阳城步仓库,477.2
常德安乡仓库,国网湖南物资公司岳阳周转库,121.7
常德安乡仓库,岳阳云溪仓库,120.6
常德安乡仓库,岳阳君山仓库,106.5
常德安乡仓库,岳阳临湘仓库,160.9
常德安乡仓库,岳阳县仓库,165.1
常德安乡仓库,岳阳华容仓库,51.6
常德安乡仓库,岳阳汨罗仓库,200.9
常德安乡仓库,岳阳湘阴仓库,190
常德安乡仓库,岳阳平江仓库,243.4
常德津市仓库,张家界慈利仓库,91.5
常德津市仓库,益阳沅江仓库,140
常德津市仓库,常德澧县仓库,15
常德津市仓库,国网湖南物资公司常德石门仓库,62.4
常德津市仓库,益阳南县仓库,78
常德津市仓库,益阳安化仓库,199.6
常德津市仓库,永州冷水滩仓库,404.3
常德津市仓库,国网湖南物资公司永州周转库,421.3
常德津市仓库,永州零陵仓库,444.3
常德津市仓库,永州东安仓库,426.2
常德津市仓库,永州祁阳仓库,427.3
常德津市仓库,永州双牌仓库,470
常德津市仓库,永州新田仓库,515.1
常德津市仓库,永州道县仓库,526
常德津市仓库,邵阳新宁仓库,422.2
常德津市仓库,永州宁远仓库,524.3
常德津市仓库,永州蓝山仓库,552.6
常德津市仓库,郴州嘉禾仓库,545.1
常德津市仓库,永州江华仓库,623.8
常德津市仓库,永州江永仓库,626
常德津市仓库,国网湖南物资公司长沙周转库,229.2
常德津市仓库,长沙县仓库,251.1
常德津市仓库,长沙望城仓库,218.8
常德津市仓库,长沙宁乡仓库,200
常德津市仓库,国网湖南物资公司株洲周转库,297.8
常德津市仓库,国网湖南物资公司湘潭周转库,272.7
常德津市仓库,湘潭韶山仓库,247.7
常德津市仓库,湘潭县仓库,283.8
常德津市仓库,国网湖南物资公司益阳周转库,166
常德津市仓库,湘潭湘乡仓库,268
常德津市仓库,长沙浏阳仓库,310.4
常德津市仓库,株洲醴陵仓库,340.4
常德津市仓库,衡阳衡山仓库,358
常德津市仓库,国网湖南物资公司湘西周转库,326.6
常德津市仓库,湘西凤凰仓库,364
常德津市仓库,湘西古丈仓库,296.8
常德津市仓库,怀化麻阳仓库,354.2
常德津市仓库,湘西泸溪仓库,276.9
常德津市仓库,湘西保靖仓库,276.1
常德津市仓库,怀化沅陵仓库,255.3
常德津市仓库,怀化辰溪仓库,305.1
常德津市仓库,湘西永顺仓库,257.6
常德津市仓库,张家界周转库,171.5
常德津市仓库,怀化溆浦仓库,323.2
常德津市仓库,湘西龙山仓库,309.3
常德津市仓库,张家界桑植仓库,225.6
常德津市仓库,国网湖南物资公司郴州周转库,536.2
常德津市仓库,郴州苏仙仓库,532.2
常德津市仓库,郴州北湖仓库,536.6
常德津市仓库,郴州桂阳仓库,524.1
常德津市仓库,郴州资兴仓库,527
常德津市仓库,衡阳耒阳仓库,452.3
常德津市仓库,郴州安仁仓库,451.7
常德津市仓库,株洲茶陵仓库,454.9
常德津市仓库,株洲炎陵仓库,497.5
常德津市仓库,衡阳常宁仓库,430.8
常德津市仓库,郴州桂东仓库,566.2
常德津市仓库,国网湖南物资公司衡阳周转库,383.2
常德津市仓库,株洲攸县仓库,420.3
常德津市仓库,衡阳衡东仓库,375.5
常德津市仓库,国网湖南物资公司怀化周转库,363.9
常德津市仓库,国网怀化中方芙蓉路仓库,361.9
常德津市仓库,怀化芷江仓库,401
常德津市仓库,怀化洪江市仓库,411.6
常德津市仓库,怀化洪江区仓库,415.1
常德津市仓库,邵阳洞口仓库,400.8
常德津市仓库,怀化会同仓库,450
常德津市仓库,怀化新晃仓库,455.8
常德津市仓库,怀化靖州仓库,488.7
常德津市仓库,邵阳武冈仓库,425
常德津市仓库,邵阳绥宁仓库,489.7
常德津市仓库,怀化通道仓库,551.7
常德津市仓库,邵阳城步仓库,477.8
常德津市仓库,国网湖南物资公司岳阳周转库,170.7
常德津市仓库,岳阳云溪仓库,169.5
常德津市仓库,岳阳君山仓库,155.5
常德津市仓库,岳阳临湘仓库,209.9
常德津市仓库,岳阳县仓库,214.1
常德津市仓库,岳阳华容仓库,100.5
常德津市仓库,岳阳汨罗仓库,243.5
常德津市仓库,岳阳湘阴仓库,220.4
常德津市仓库,岳阳平江仓库,292.8
张家界慈利仓库,益阳沅江仓库,180.5
张家界慈利仓库,常德澧县仓库,82.9
张家界慈利仓库,国网湖南物资公司常德石门仓库,38.7
张家界慈利仓库,益阳南县仓库,152.8
张家界慈利仓库,益阳安化仓库,205.2
张家界慈利仓库,永州冷水滩仓库,409.8
张家界慈利仓库,国网湖南物资公司永州周转库,426.9
张家界慈利仓库,永州零陵仓库,449.8
张家界慈利仓库,永州东安仓库,431.8
张家界慈利仓库,永州祁阳仓库,432.9
张家界慈利仓库,永州双牌仓库,475.6
张家界慈利仓库,永州新田仓库,520.6
张家界慈利仓库,永州道县仓库,531.6
张家界慈利仓库,邵阳新宁仓库,427.8
张家界慈利仓库,永州宁远仓库,529.9
张家界慈利仓库,永州蓝山仓库,558.1
张家界慈利仓库,郴州嘉禾仓库,557
张家界慈利仓库,永州江华仓库,629.4
张家界慈利仓库,永州江永仓库,631.5
张家界慈利仓库,国网湖南物资公司长沙周转库,243
张家界慈利仓库,长沙县仓库,265.9
张家界慈利仓库,长沙望城仓库,233.7
张家界慈利仓库,长沙宁乡仓库,209.7
张家界慈利仓库,国网湖南物资公司株洲周转库,314
张家界慈利仓库,国网湖南物资公司湘潭周转库,287.4
张家界慈利仓库,湘潭韶山仓库,257.3
张家界慈利仓库,湘潭县仓库,295.7
张家界慈利仓库,国网湖南物资公司益阳周转库,175.9
张家界慈利仓库,湘潭湘乡仓库,277.7
张家界慈利仓库,长沙浏阳仓库,325.2
张家界慈利仓库,株洲醴陵仓库,352.3
张家界慈利仓库,衡阳衡山仓库,369.9
张家界慈利仓库,国网湖南物资公司湘西周转库,250.8
张家界慈利仓库,湘西凤凰仓库,292.5
张家界慈利仓库,湘西古丈仓库,204.9
张家界慈利仓库,怀化麻阳仓库,314.1
张家界慈利仓库,湘西泸溪仓库,256.8
张家界慈利仓库,湘西保靖仓库,184.2
张家界慈利仓库,怀化沅陵仓库,235.3
张家界慈利仓库,怀化辰溪仓库,285.1
张家界慈利仓库,湘西永顺仓库,165.7
张家界慈利仓库,张家界周转库,79.7
张家界慈利仓库,怀化溆浦仓库,306.6
张家界慈利仓库,湘西龙山仓库,217.4
张家界慈利仓库,张家界桑植仓库,133.7
张家界慈利仓库,国网湖南物资公司郴州周转库,548.1
张家界慈利仓库,郴州苏仙仓库,544.1
张家界慈利仓库,郴州北湖仓库,548.5
张家界慈利仓库,郴州桂阳仓库,536.1
张家界慈利仓库,郴州资兴仓库,538.9
张家界慈利仓库,衡阳耒阳仓库,464.2
